recipe_id,name,country,ingredients,methods
1,肉じゃが,Japan,potato;onion;beef;soy sauce;sugar;mirin,boil;stew
2,Irish Stew,Ireland,potato;onion;lamb;carrot;celery,stew
3,Massaman Curry,Thailand,potato;beef;curry powder;coconut milk,stew;fry
4,Beef Stew,USA,potato;beef;onion;carrot;tomato paste,stew
5,Teriyaki Chicken,Japan,chicken;soy sauce;sugar;mirin,grill
6,Stir Fry Vegetables,China,broccoli;carrot;onion;soy sauce;garlic,stir-fry
7,Shepherd's Pie,UK,potato;beef;onion;carrot,oven-bake
8,Butter Chicken,India,chicken;tomato;curry powder;butter,stew
9,Potato Salad,Japan,potato;egg;mayonnaise;onion,boil
10,Shakshuka,Middle East,tomato;egg;onion;bell pepper,stew
11,No-Bake Nut Cookies,India,brown sugar;milk;vanilla;nuts;butter;bite size shredded rice biscuits,boil
12,Jewell Ball'S Chicken,China,beef;chicken breasts;cream of mushroom soup;sour cream,bake
13,Creamy Corn,Korea,frozen corn;cream cheese;butter;garlic powder;salt;pepper,stir-fry
14,Chicken Funny,Spain,chicken;chicken gravy;cream of mushroom soup;shredded cheese,boil;bake
15,Reeses Cups(Candy),Ireland,peanut butter;graham cracker crumbs;butter;powdered sugar;chocolate chips,bake
16,Cheeseburger Potato Soup,Germany,baking potatoes;extra lean ground beef;butter;milk;salt;pepper,boil
17,Rhubarb Coffee Cake,USA,sugar;butter;egg;buttermilk;flour;salt,boil
18,Scalloped Corn,Italy,cream-style corn;whole kernel corn;crackers;egg;butter;pepper,bake
19,Nolan'S Pepper Steak,China,tomatoes;water;onions;worcestershire sauce;green peppers;oil,simmer
20,Millionaire Pie,Korea,pineapple;condensed milk;lemons;pecans;graham cracker crusts,oven-bake
21,Double Cherry Delight,Vietnam,dark sweet pitted cherries;ginger ale;flavor gelatin;boiling water;almond extract;marshmallows,boil
22,Buckeye Candy,UK,powdered sugar;butter;peanut butter;paraffin;chocolate chips,boil
23,Quick Barbecue Wings,France,chicken;flour;barbecue sauce,fry
24,Taco Salad Chip Dip,Mexico,taco sauce;sour cream;cream cheese;ground beef;taco seasoning;shredded lettuce,boil
25,Pink Stuff(Frozen Dessert),Mexico,pie filling;pineapple;condensed milk;lemon juice,fry
26,Fresh Strawberry Pie,USA,shell;cleaned strawberries;water;cornstarch;sugar;salt,boil;bake
27,Easy German Chocolate Cake,Japan,chocolate fudge cake;white cake;wesson oil,bake
28,Broccoli Salad,Ireland,broccoli;bacon;green onions;raisins;mayonnaise;vinegar,roast
29,Strawberry Whatever,Spain,frozen strawberries;pineapple;bananas;pecans;strawberry;boiling water,boil
30,Eggless Milkless Applesauce Cake,Korea,sugar;shortening;applesauce;soda;cinnamon;flour,bake
31,"Grandma Hanrath'S Banana Breadfort Collins, Colorado",Ireland,sugar;shortening;eggs;salt;soda;flour,bake
32,Chocolate Frango Mints,Greece,cake mix;chocolate fudge pudding;sour cream;water;wesson oil;eggs,bake
33,Cuddy Farms Marinated Turkey,Ireland,vegetable oil;soy sauce;garlic,boil
34,Spaghetti Sauce To Can,Italy,tomatoes;oil;garlic;tomato paste;peppers;sugar,fry
35,Prize-Winning Meat Loaf,Ireland,ground beef;tomato juice;oats;egg;onion;pepper,bake
36,Smothered Round Steak(Servings: 4),Greece,steak;ground black pepper;ground white pepper;vegetable oil;bell peppers;beef stock,grill
37,Corral Barbecued Beef Steak Strips,USA,long;cooking oil;tomato sauce;water;brown sugar;mustard,simmer
38,Easy Fudge,Japan,condensed milk;semi-sweet chocolate chips;unsweetened chocolate;nuts;vanilla,grill
39,Taco-Filled Green Pepper,Mexico,ground beef;taco seasoning;beans;onion;salsa;green peppers,boil;bake
40,One Hour Rolls,India,milk;sugar;yeast;salt;crisco oil;flour,boil;bake
41,Punch Bowl Fruit Salad,Greece,peaches;fruit cocktail;pineapple;fresh strawberries;red apples;yellow apples,fry
42,Summer Chicken,Ireland,chicken cutlets;oil;red vinegar;oregano;garlic salt,stew
43,Cherry Pizza,Italy,cherry pie mix;deluxe white cake mix;butter;ground nuts,bake
44,Potato And Cheese Pie,Mexico,eggs;salt;pepper;potatoes;cheddar cheese;green onions,bake
45,Tuna Macaroni Casserole,Germany,macaroni;tuna;pimentos;onion,grill
46,Artichoke Dip,USA,hearts;mayonnaise;parmesan cheese,bake
47,Broccoli Dip For Crackers,Germany,sour cream;vegetable soup mix;broccoli;cheddar cheese,bake
48,Summer Spaghetti,Italy,salad supreme;italian dressing,grill
49,Pear-Lime Salad,Germany,pear halves;lime gelatin;cream cheese;lemon yogurt,boil
50,Watermelon Rind Pickles,Japan,watermelon rind;sugar;apple vinegar;oil;oil of cinnamon,boil
51,Chicken Stew,Greece,chicken;potatoes;onions;corn;english peas;peas,steam
52,Quick Coffee Cake(6 Servings),UK,butter;sugar;egg;flour;baking powder;salt,bake
53,Angel Biscuits,Japan,flour;sugar;baking powder;yeast;buttermilk;soda,bake
54,Quick Peppermint Puffs,Japan,marshmallows;margarine;peppermint candy;crescent rolls,bake
55,Fruit Pizza,Italy,yellow cake mix;water;brown sugar;butter;eggs;nuts,bake
56,Chocolate Mint Bars,China,flour;sugar;oleo;eggs;chocolate syrup,bake
57,Beer Bread,Italy,flour;beer;sugar,bake
58,Chicken Divan,China,margarine;onion;celery;flour;curry powder;mushrooms,bake
59,Mexican Cookie Rings,Mexico,flour;baking powder;salt;butter;sugar;egg yolks,bake
60,Vegetable-Burger Soup,Vietnam,ground beef;water;sugar;onion soup;tomatoes;tomato sauce,boil;simmer
61,Chicken Ole,USA,chicken breasts;cream of chicken soup;cream of mushroom soup;green chili salsa sauce;green chilies;milk,bake
62,Creamy Coleslaw(Better Homes And Gardens),France,cabbage;carrots;green pepper;onion;mayonnaise;vinegar,boil
63,Creole Flounder,USA,flounder;tomatoes;green pepper;lemon juice;salad oil;salt,bake
64,Three Bean Salad,Thailand,green beans;yellow beans;kidney beans;sugar;salad oil;vinegar,steam
65,Dave'S Corn Casserole,China,whole kernel corn;cream-style;sour cream;corn bread;margarine,bake
66,Casserole Italiano,Italy,ground beef;onion;tomato soup;noodles;oregano;salt,bake
67,Corned Beef And Cabbage Casserole,Korea,cabbage;dry mustard;corned beef;cream of celery soup;onion,stir-fry
68,Crab Cakes,Greece,worcestershire sauce;dry mustard;mayonnaise;egg,fry
69,Taco Dip,Mexico,cream cheese;mayonnaise;taco sauce;green onions;green pepper;tomato,bake
70,Bonbon Cookies,Korea,butter;peanut butter;graham cracker crumbs;coconut;nut meats;vanilla,stew
71,Forever Amber,UK,orange sliced candy;angel;pecans;condensed milk;vanilla;orange flavoring,bake
72,Gooey Coffee Cake,Thailand,yellow cake;eggs;oleo;nuts;eggs;cream cheese,bake
73,Phylis' Pineapple-Banana Salad,Thailand,pineapple;bananas,grill
74,Chicken Casserole,Japan,cream of mushroom soup;cream of chicken soup;cream of celery soup;chicken;butter;rice,bake
75,Pineapple Nut Pie,UK,cream cheese;condensed milk;pineapple;nuts;lemon juice,bake
76,Annie'S Diabetic Candy,USA,vanilla;cream cheese;butter;peanut butter,steam
77,Frozen Peach Mousse,France,peaches;sugar;sour cream;lemon juice;vanilla,bake
78,Strawberry Pie,Ireland,frozen strawberries;sugar;cream cheese,grill
79,Blueberry Surprise,USA,margarine;graham cracker crumbs;granulated sugar,simmer
80,Moist Devil'S Food Cake,Germany,flour;baking soda;salt;shortening;sugar;eggs,bake
81,Dot'S Civil War Cake,Spain,apples;raisins;brown sugar;sugar;shortening;cold water,boil;bake
82,Potato Casserole,Vietnam,potatoes;onion;butter;cream of chicken soup;sour cream;cheddar cheese,bake
83,Dream Pie,Germany,vanilla wafers;butter,stew
84,Divinity Fudge,USA,sugar;white corn syrup;cold water;egg whites;vanilla;nuts,boil
85,Apple Crisp,Greece,apples;sugar;cinnamon;sugar;flour;salt,stir-fry
86,Sausage Balls,France,bisquick;sausage;cheddar cheese,bake
87,Consomme Chicken,Greece,chicken;cream of chicken soup;consomme;rice;salt;pepper,oven-bake
